,_latitude,_longitude,number_of_operators,number_of_available_trolleys,serving_customer,describe_the_accident,maximum_number_of_vehicles_in_the_traffic_jam
0,19.05689338,-98.23348947,1.0,1.0,1.0,,5.0
1,19.05684943,-98.2334839,2.0,1.0,1.0,,5.0
2,19.0596775,-98.2339161,1.0,0.0,1.0,,5.0
3,19.0626948,-98.2285674,1.0,2.0,1.0,,5.0
4,19.0627239,-98.231397,2.0,2.0,1.0,,5.0
5,19.0593853,-98.232277,2.0,0.6,1.0,,5.0
6,19.0610519,-98.2314082,1.0,1.0,1.0,,5.0
7,19.057338,-98.2243023,3.0,2.0,1.0,,5.0
8,19.057425,-98.2241354,2.0,2.0,1.0,,5.0
9,19.0531093,-98.2297262,3.0,2.0,1.0,,5.0
10,19.0620703,-98.2274024,1.0,1.0,1.0,,5.0
11,19.0517539,-98.2326791,2.0,0.0,1.0,,5.0
12,19.0529867,-98.2339776,1.0,0.0,1.0,,5.0
13,19.0611275,-98.2255224,1.0,1.0,1.0,,5.0
14,19.0553701,-98.2301393,1.5,1.0,1.0,,5.0
15,19.0590599,-98.2282945,1.0,1.0,1.0,,5.0
16,19.0532046,-98.2271538,1.0,0.0,1.0,,5.0
17,19.02015966,-98.21704124,2.0,1.0,1.0,,5.0
18,19.04588903,-98.20349839,2.0,1.0,1.0,,5.0
19,19.04531074,-98.19865255,2.0,2.0,1.0,,5.0
20,19.018541,-98.21787,1.5,1.0,1.0,,5.0
21,19.04598987,-98.20371095,1.0,1.0,1.0,,5.0
22,19.04596103,-98.20364758,1.0,0.0,1.0,,8.0
23,19.04552902,-98.1941044,1.0,1.0,1.0,,5.0
24,19.04621108,-98.19373783,1.0,0.0,1.0,,5.0
25,19.06515002,-98.31301231,3.0,2.0,1.0,,5.0
26,19.06400941,-98.31154904,1.0,0.0,1.0,,5.0
27,19.06428128,-98.31151052,3.0,2.0,1.0,,5.0
28,19.0598333,-98.30646,1.0,1.0,1.0,,5.0
29,19.0656,-98.31059,2.0,1.0,1.0,,5.0
30,19.0640329,-98.309745,2.0,2.0,1.0,,5.0
31,19.0639638,-98.3097392,2.0,2.0,1.0,,5.0
32,19.0612967,-98.3110767,1.0,1.0,1.0,,5.0
33,19.0638883,-98.3092333,2.0,0.0,1.0,,5.0
34,19.063999,-98.3093346,2.0,1.0,1.0,,5.0
35,19.0656979,-98.3107461,3.0,1.0,1.0,,5.0
36,19.0618411,-98.3067634,2.0,2.0,1.0,,5.0
37,19.0183171,-98.21557604,1.0,0.0,1.0,,5.0
38,19.01827283,-98.21559178,1.0,0.0,1.0,,5.0
39,19.0155334,-98.21561694,2.0,2.0,1.0,,5.0
40,19.018353,-98.215618,1.0,1.0,1.0,,5.0
41,19.04734673,-98.2042665,1.0,1.0,1.0,,5.0
42,19.04881606,-98.20005555,1.5,0.0,1.0,,5.0
43,19.02267326,-98.24912536,3.0,1.0,1.0,,5.0
44,19.02859849,-98.24905939,2.0,0.0,1.0,,5.0
45,19.03058484,-98.24607678,1.0,0.0,1.0,,5.0
46,19.03191336,-98.2501926,2.0,1.0,1.0,,5.0
47,19.02608248,-98.24929073,2.0,2.0,1.0,,5.0
48,19.03195977,-98.24869562,2.0,0.0,1.0,,5.0
49,19.03567158,-98.26256778,1.0,0.0,1.0,,5.0
50,19.03576737,-98.26247591,2.0,0.0,1.0,,5.0
51,19.03505356,-98.26289614,2.0,0.0,1.0,,5.0
52,19.03401664,-98.26284002,3.0,1.0,1.0,,5.0
53,19.03451455,-98.26354094,1.0,0.0,1.0,,5.0
54,19.03458605,-98.2639965,2.0,0.0,1.0,,5.0
55,19.03457953,-98.2641675,1.0,0.0,1.0,,5.0
56,19.03514334,-98.26657739,1.0,0.0,1.0,,5.0
57,19.03547529,-98.26774155,1.0,0.0,1.0,,5.0
58,19.03523033,-98.2673591,1.0,0.0,1.0,,5.0
59,19.03526136,-98.26670927,2.0,0.0,1.0,,5.0
60,19.03567092,-98.26255987,2.0,1.0,1.0,,5.0
61,19.0356523,-98.26239232,1.0,2.0,1.0,,5.0
62,19.0343777,-98.2631016,2.0,2.0,1.0,,5.0
63,19.03439204,-98.26308148,1.0,2.0,1.0,,5.0
64,19.03436895,-98.26335917,1.0,1.0,1.0,,5.0
65,19.0346142,-98.26515114,1.0,1.0,1.0,,5.0
