,_version,_index,_latitude,_longitude,_created_duration,_updated_duration,_edited_duration,number_of_customers_in_store,number_of_suppliers_in_store,number_of_cases_boxes_delivered
0,1,0,19.0596667,-98.2338643,0.0,3.0,64.0,1.0,1.0,4.3
1,1,0,19.0530488,-98.2294218,0.0,80.0,80.0,0.0,2.0,4.3
2,1,0,19.0517402,-98.232677,0.0,61.0,86.0,0.0,1.0,12.0
3,1,0,19.0529905,-98.2339909,0.0,7.0,48.0,0.0,1.0,3.0
4,1,0,19.0553894,-98.2301302,0.0,76.0,76.0,0.0,1.0,1.0
5,1,0,19.0531043,-98.2271606,0.0,53.0,53.0,1.3,1.0,3.0
6,1,0,19.04590291,-98.20348741,0.0,8.0,8.0,1.0,1.0,3.0
7,1,0,19.02348801,-98.20328097,0.0,4.0,4.0,2.0,1.0,3.0
8,1,0,19.04645891,-98.19369793,0.0,116.0,116.0,2.0,1.0,2.0
9,1,0,19.0658682,-98.3105623,0.0,60.5,64.6,3.0,2.0,11.0
10,1,0,19.0645079,-98.3113028,0.0,167.0,167.0,2.0,2.0,12.0
11,1,0,19.04738531,-98.20425514,0.0,130.0,130.0,1.3,1.0,5.0
12,1,0,19.04881857,-98.20005009,0.0,11.0,11.0,0.0,1.0,4.3
13,1,0,18.99942929,-98.27405971,0.0,78.0,78.0,1.0,3.0,8.0
14,1,0,18.99942571,-98.2740789,0.0,46.0,46.0,2.0,1.0,2.0
15,1,0,19.00608812,-98.26567357,0.0,50.0,50.0,2.0,1.4,10.0
16,1,0,19.00613704,-98.26568174,0.0,56.0,56.0,0.0,2.0,6.0
17,1,0,19.006115,-98.26567025,0.0,41.0,41.0,0.0,1.0,2.0
18,1,0,19.00410075,-98.26650186,0.0,41.0,41.0,3.0,1.0,4.0
19,1,0,19.00411011,-98.2664908,0.0,81.0,81.0,2.0,1.0,2.0
20,1,0,19.00450287,-98.26618775,0.0,76.0,76.0,4.0,3.0,6.0
21,1,0,19.00448073,-98.26620399,0.0,40.0,40.0,4.0,2.0,5.0
22,1,0,18.9995983,-98.27483802,0.0,68.0,68.0,0.0,1.0,2.0
23,1,0,19.00184227,-98.27189572,0.0,60.0,60.0,0.0,2.0,5.0
24,1,0,19.00173048,-98.27208718,0.0,43.0,43.0,2.0,1.0,2.0
25,1,0,19.00512008,-98.26648594,0.0,94.0,94.0,1.0,2.0,3.0
26,1,0,19.00565243,-98.26759627,0.0,57.0,57.0,0.0,2.0,4.0
27,1,0,19.00569198,-98.26761701,0.0,97.0,97.0,0.0,1.0,4.0
28,1,0,19.00407882,-98.26677136,0.0,2.0,2.0,1.0,0.0,2.0
29,1,0,19.02668826,-98.24933495,0.0,60.5,64.6,0.0,1.0,2.0
30,1,0,19.02517613,-98.2490309,0.0,60.5,64.6,3.0,1.0,4.0
31,1,0,19.03083854,-98.24979091,0.0,1.0,1.0,1.0,2.0,5.0
32,1,0,19.03074282,-98.2499071,0.0,60.5,64.6,1.0,2.0,1.0
33,1,0,19.02515603,-98.24905477,0.0,168.0,168.0,4.0,1.0,2.0
34,1,0,19.0,-98.3,0.0,62.0,62.0,0.0,1.0,1.0
